nombre_establecimiento,razon_social,fecha_alta,categoria_actividad,actividad,personas_ocupadas,tipo_empresa,tipo_centro_comercio,centro_comercio,tipo_unidad_economica,direccion,colonia,alcaldia,telefono,correo_electronico,pagina_web,latitud,longitud
ARTICULOS DE REHABILITACION GLOVI,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LA TEJA EXT. 7  C.P. 10640,PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,NA,NA,NA,19.30502498,-99.24734304
ARTÍCULOS MÍSTICOS Y HERBOLARÍA,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,PROGRESISTA,Fijo,CALLE LAZARILLO DE TORMES   C.P. 9240,PROGRESISTA,IZTAPALAPA,NA,NA,NA,19.35716558,-99.06548632
ARTICULOS MISTICOS Y PLANTAS MEDICINALES,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO SONORA,Fijo,EJE VIAL 1 ORIENTE (ANILLO DE CIRCUNVALACION) EXT. 0 INT. 312 C.P. 15810,MERCED BALBUENA,VENUSTIANO CARRANZA,"5520306427",NA,NA,19.42229196,-99.12613777
ARTICULOS MISTICOS Y RELIGIOSOS,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ALUMINIO EXT. 0 INT. 387 C.P. 15310,FELIPE ANGELES,VENUSTIANO CARRANZA,NA,NA,NA,19.45038568,-99.11035619
ARTICULOS NATURALES DERIVADOS DE LA MIEL LA ABEJA REINA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PUERTO DE MAZATLAN EXT. 34 INT. 0 C.P. 7580,CASAS ALEMAN (AMPL) II,GUSTAVO A. MADERO,NA,NA,NA,19.47921711,-99.08740928
ARTICULOS NATURISTAS Y VELADORAS,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CIRCUITO INTERIOR (AVENIDA RIO CHURUBUSCO) EXT. 95 INT. 95 C.P. 9410,ACULCO (PBLO),IZTAPALAPA,"5556340660",NA,NA,19.37474769,-99.10238017
ARTICULOS PARA ORTOPEDIA,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ORIENTE 87 EXT. 3021 INT. 0 C.P. 7880,MARTIRES DE RIO BLANCO,GUSTAVO A. MADERO,NA,NA,NA,19.45939979,-99.11387408
ASTURIAS MEGA COM MEX,NUTRISA SA DE CV,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CHABACANO EXT. 43  C.P. 6850,ASTURIAS (AMPL),CUAUHTEMOC,NA,NA,www.nutrisa.com.mx,19.40843432,-99.13279752
ATENCION MEDICA Y FARMACIA SAN PEDRO,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CALZADA REFORMA AGRARIA  INT. 5 C.P. 13020,SAN JOSE,TLAHUAC,NA,NA,NA,19.27178995,-98.99680015
ATENEA ROSSI,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,ARGENTINA,Fijo,CALLE LAGO VIEDMA  INT. 814 C.P. 11270,MEXICO NUEVO,MIGUEL HIDALGO,NA,NA,NA,19.45281478,-99.20225729
AUDIFONOS DANESES,AUDIFONOS DANESES SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE RIO PANUCO EXT. 183  C.P. 6500,CUAUHTEMOC,CUAUHTEMOC,NA,NA,NA,19.42816441,-99.17287763
AUDIFONOS PARA SORDERA,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA UNIVERSIDAD EXT. 771 INT. 201 C.P. 3100,DEL VALLE VI,BENITO JUAREZ,"5556885999",NA,NA,19.37343544,-99.16321569
AUDILENT,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA MIGUEL ANGEL DE QUEVEDO EXT. 891  C.P. 4330,EL ROSEDAL I,COYOACAN,"5553365311",NA,NA,19.34339011,-99.15557637
AUDIMAS,AUDIAIDS SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,EJE VIAL 2 PONIENTE (FLORENCIA) EXT. 39  C.P. 6600,JUAREZ,CUAUHTEMOC,NA,NA,NA,19.42459617,-99.16650369
AUDIO NOVA CENTROS AUDITIVOS,AUDIO NOVAMMEXICO SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,CENTRO Y PLAZA COMERCIAL,PLAZZA TEPEYAC,Fijo,CALZADA CALZADA DE GUADALUPE EXT. 431  C.P. 7810,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,NA,NA,audionova.mx,19.47271002,-99.12172417
AUDIO Y BOCINAS,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA TLALTENCO EXT. 0 INT. 0 C.P. 9750,LA POLVORILLA,IZTAPALAPA,NA,NA,NA,19.32051559,-99.04618238
AUDIOLOGIX,AUDIOLOGIX SA DE CV,2021-05-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,PERIFERICO CALLE 7 EXT. 220  C.P. 8100,PANTITLAN V,IZTACALCO,NA,audiologix.mx@hotmail.com,NA,19.40801874,-99.05752022
AUDIONOVA,AUDIONOVA MEXICO SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA HOMERO EXT. 534  C.P. 11560,CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,NA,kmercado@audionova.mx,www.conectate.mx,19.43545199,-99.1906042
AUDIOTECH,CONNECT HEARING DE MEXICO SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA INSURGENTES SUR EXT. 619 INT. 602 C.P. 3810,NAPOLES,BENITO JUAREZ,NA,ricardo.gonzalez@phonak.com,NA,19.39645232,-99.17172432
AUDIOTECH COYOACAN,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA MIGUEL ANGEL DE QUEVEDO EXT. 783  ,CUADRANTE DE SAN FRANCISCO,COYOACAN,NA,NA,NA,19.34394978,-99.1596597
AUDIOTECH EJE CENTRAL,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL CENTRAL  LÁZARO CÁRDENAS EXT. 12  ,OBRERA I,CUAUHTEMOC,NA,NA,NA,19.42198365,-99.14286726
AUDIOTECH ERMITA,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 8 SUR (CALZADA ERMITA IZTAPALAPA) EXT. 941  ,STA ISABEL INDUSTRIAL,IZTAPALAPA,NA,NA,NA,19.3556481,-99.1021047
AUDIOTECH MIRAMONTES,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,EJE VIAL 1 ORIENTE  AVENIDA CANAL DE MIRAMONTES EXT. 2745  ,JARDINES DE COYOACAN (FRACC),COYOACAN,NA,NA,NA,19.31645791,-99.12658506
AUDIOTECH MONTEVIDEO,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA MONTEVIDEO EXT. 213  ,LINDAVISTA I,GUSTAVO A. MADERO,NA,NA,NA,19.48911864,-99.12868916
AUDIOTECH POLANCO,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2016-10-01,Farmacias y salud,Artículos ortopédicos,51 a 100 personas,Mediana empresa,NA,NA,Fijo,AVENIDA Homero EXT. 544 INT. 3 C.P. 11560,CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,NA,artwla@hotmail.com,audiotech.com.mx,19.43544988,-99.19054057
AUDIOTECH TLALPAN,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,CALZADA DE TLALPAN EXT. 1366  ,PORTALES ORIENTE,BENITO JUAREZ,NA,NA,NA,19.36740254,-99.14171441
AUDIOTECH TLALPAN SUR,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA INSURGENTES SUR EXT. 3820  ,TLALPAN CENTRO,TLALPAN,NA,NA,NA,19.2920634,-99.17609539
AUDIOTECH TLALPAN SUR,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2016-10-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA INSURGENTES SUR EXT. 3820  C.P. 14000,TLALPAN CENTRO,TLALPAN,NA,tlalpansur@biotech.com.mx,NA,19.2920634,-99.17609539
AUDIOTECH XOCHIMILCO,INSTITUTO AUDIOLOGICO AUDIOTECH SA DE CV,2020-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA GUADALUPE I. RAMIREZ EXT. 260  ,SAN MARCOS (BARR),XOCHIMILCO,NA,xochimilco@audiotech.com,www.audiotech.com,19.26550777,-99.11335933
AUDITIVOS DE MEXICO,AUDITIVOS DE MEXICO SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,Fijo,CALLE BOLIVAR EXT. 31 INT. 315 C.P. 6000,CENTRO IV,CUAUHTEMOC,"5555182830",NA,www.auditivosdemexico.com.mx,19.43264329,-99.13852281
AUDITIVOS NARVARTE,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MONTE ALBAN EXT. 167  C.P. 3023,NARVARTE IV,BENITO JUAREZ,"5555301055",NA,NA,19.39359439,-99.15050911
AUDITIVOS URQUIETA,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,EJE VIAL 1 ORIENTE (AVENIDA CANAL DE MIRAMONTES) EXT. 2332 INT. 0 C.P. 4460,AVANTE,COYOACAN,NA,info@auditivosurquieta.com.mx,www.auditivosurquieta.com.mx,19.32722579,-99.13669835
AUXILIARES AUDITIVOS,OIDO NUEVO SA DE CV,2014-12-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CALZADA LEGARIA EXT. 25  C.P. 11280,TORRE BLANCA,MIGUEL HIDALGO,NA,NA,NA,19.45895998,-99.19073636
AUXILIARES AUDITIVOS SONITECH,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ARBOL DEL FUEGO EXT. 21 INT. 0 C.P. 4380,DE LA CANDELARIA (PBLO),COYOACAN,NA,sonitech@gmail.com,NA,19.33073686,-99.14450341
AUXILIARES AUDITIVOS URQUIETA,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA AZCAPOTZALCO EXT. 702 INT. 8 C.P. 2000,CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,NA,NA,NA,19.48363367,-99.18594956
AUXILIARES ORTOPEDICOS LOPEZ,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE IGNACIO ALLENDE EXT. 104  C.P. 2080,CLAVERIA,AZCAPOTZALCO,"5563954403",NA,NA,19.4630785,-99.17953278
AVICER APARATOS ORTOPEDICOS,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,Fijo,AVENIDA EJIDO DE SAN FRANCISCO CULHUACAN EXT. 117  C.P. 4420,EX EJIDO SAN FRANCISCO CULHUACAN I,COYOACAN,NA,NA,www.avicer.net,19.33198867,-99.12876074
AXXON AUDIOLOGY,WIRKSANKEIT SOLUTIONS SA DE CV,2014-12-01,Farmacias y salud,Artículos ortopédicos,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,EJE VIAL 4 SUR XOLA EXT. 1664  C.P. 3020,NARVARTE IV,BENITO JUAREZ,NA,sandra.castaleda@axxon.com.mx,www.axxon.com.mx,19.39548034,-99.14998729
BAE MEDIMAR 11 DE AGOSTO 2770,NUEVA WAL MART DE MEXICO S DE RL DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA EJE 5 SUR  LEYES DE REFORMA EXT. 104  C.P. 9310,LEYES DE REFORMA 3A SECCION II,IZTAPALAPA,NA,rafael.miramon@walmart.com,www.walmart.com,19.377871,-99.07238032
BAMI NATURISTA,BAMI NATURISTA S DE RL DE CV,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",6 a 10 personas,Microempresa,NA,NA,Fijo,EJE VIAL 1 ORIENTE (ANILLO DE CIRCUNVALACION) EXT. 709  C.P. 6090,CENTRO VII,CUAUHTEMOC,"5555422860",NA,NA,19.42603844,-99.1256707
BARAFARMA,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,CENTRAL DE ABASTO,ABARROTES Y VIVERES,Fijo,EJE VIAL 5 SUR (LEYES DE REFORMA)   C.P. 9410,PASEOS DE CHURUBUSCO,IZTAPALAPA,NA,NA,NA,19.37898844,-99.09391228
BELLA Y NATURAL,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,SALVADOR DIAZ MIRON,Fijo,CALLE ORIENTE 155-B EXT. 62 INT. 17 C.P. 7400,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,NA,NA,NA,19.48804235,-99.09918398
BENAVIDES,FARMACIAS BENAVIDES SA DE CV,2019-11-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE RIO TIGRIS EXT. 42  C.P. 6500,CUAUHTEMOC,CUAUHTEMOC,NA,NA,NA,19.43303098,-99.16835863
BHP NUTRITION,BHP NUTRITION MEXICO SA DE CV,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,CENTRO Y PLAZA COMERCIAL,PABELLON AZCAPOTZALCO,Fijo,AVENIDA AQUILES SERDAN EXT. 400 INT. 103 C.P. 2790,NEXTENGO (BARR),AZCAPOTZALCO,NA,NA,NA,19.47297007,-99.18943306
BIENESTAR FARMACEUTICO,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ORQUIDEA EXT. 42 INT. 0 C.P. 10010,LA MALINCHE,LA MAGDALENA CONTRERAS,NA,NA,NA,19.32363842,-99.2429185
BIO NATURA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA OAXACA EXT. 23  C.P. 6700,ROMA NORTE I,CUAUHTEMOC,NA,NA,NA,19.42254046,-99.16411751
BIO4 TECOMITL,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 16 DE SEPTIEMBRE EXT. 3 INT. 0 C.P. 12100,SAN ANTONIO TECOMITL (PBLO),MILPA ALTA,NA,NA,NA,19.21241167,-98.99660506
BIOBONUM,BONUM LIFE SA DE CV,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA JOSE MARIA MORELOS EXT. 0 INT. 0 C.P. 9800,CULHUACAN (PBLO),IZTAPALAPA,"5544817010",cedisiztapalapa@biobonum.mx,www.biobonum.mx,19.33946748,-99.10840046
BIOFARMACY,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE RAMON FABIE EXT. 28  C.P. 6860,VISTA ALEGRE,CUAUHTEMOC,NA,NA,NA,19.40992073,-99.13195828
"BIOMET MEXICO, S.A. DE C.V.",BIOMET MEXICO SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,51 a 100 personas,Mediana empresa,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE JADE,Fijo,PERIFERICO SUR EXT. 4829 INT. 402 C.P. 14010,PARQUES DEL PEDREGAL,TLALPAN,NA,mitzi.flores@zimmerbiomet.com,www.zimmerbionet.com,19.30214503,-99.18908771
BIONATURA,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SABINAS EXT. 2  C.P. 15210,VALLE GOMEZ,VENUSTIANO CARRANZA,NA,NA,NA,19.45532663,-99.11986177
BIONATURA TIENDA NATURISTA,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 12 EXT. 126 INT. 0 C.P. 7600,PROGRESO NACIONAL I,GUSTAVO A. MADERO,NA,NA,NA,19.52058119,-99.15928968
BIOPHARMEX,BIOPHARMEX SA DE CV,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA CEYLAN EXT. 959  C.P. 2300,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,NA,margaritapantoja@biopharmex.com.mx,www.biopharmex.com.mx,19.49957084,-99.1721485
BIOROX INTERNACIONAL,BIOROX INTERNACIONAL SA DE CV,2016-01-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 4 SUR (XOLA) EXT. 1107 INT. 0 C.P. 3020,NARVARTE III,BENITO JUAREZ,NA,contacto@bioroxinternacinal.com,www.bioroxinternacional.com,19.39592775,-99.15801649
BIOSALUD,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SUR 16 EXT. 4 INT. 0 C.P. 8500,AGRICOLA ORIENTAL II,IZTACALCO,"5522359304",NA,NA,19.39461207,-99.07386863
BIOTECHNICA MEDICA,TECHBINICAMEDICA SOLUTIONS SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,EDIFICIO COMERCIAL Y DE SERVICIOS,WORLD TRADE CENTER,Fijo,AVENIDA AVENIDA DE LAS NACIONES EXT. 38 INT. 29 C.P. 3810,NAPOLES,BENITO JUAREZ,"5865375918",contacto@tech-bionica.com,www.tech-bionica.com,19.39467346,-99.17343831
BIOTIQUIN,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA CALZADA DE TLALPAN EXT. 1843  C.P. 4120,SAN MATEO (BARR),COYOACAN,NA,biotiquincoyoacan@gmail.com,NA,19.35114016,-99.14583674
BISUTERIA GRASAS CREMAS CEPILLOS,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA PASEO DE LA REFORMA   C.P. 11560,"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES",MIGUEL HIDALGO,NA,NA,NA,19.42578191,-99.19293705
BLUB DE NUTRICION HERBALIFE SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BUENA SUERTE EXT. 3  C.P. 13210,LOS OLIVOS,TLAHUAC,NA,NA,NA,19.30388652,-99.05776536
BMORE NUTRICION,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CALZADA LEGARIA EXT. 216  C.P. 11410,VENTURA PEREZ DE ALBA,MIGUEL HIDALGO,NA,NA,NA,19.45379974,-99.1977482
BODEGA,NATURISMO MAFLO,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,Fijo,CALLE CORREGIDORA EXT. 131 INT. 0 C.P. 15900,CENTRO I,VENUSTIANO CARRANZA,"5550270249",NA,NA,19.43062279,-99.12297106
BODEGA 1 GRUPO RAYMEDIC,GRUPO RAYMEDIC SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE MIRADOR EXT. 136  C.P. 4950,EL MIRADOR,COYOACAN,"5563638707",contacto@kohnmexico.com,NA,19.30362949,-99.10865548
BODEGA BOTANICA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO JAMAICA ZONA,Fijo,EJE VIAL 3 SUR (MORELOS)  INT. 212 C.P. 15800,JAMAICA,VENUSTIANO CARRANZA,NA,NA,NA,19.40892316,-99.12279622
BODEGA DE HERBOLARIA Y EXOTERISMO SIN NOMBRE,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO LA DALIA,Semifijo,CALLE FRESNO EXT. 230 INT. 174 C.P. 6400,SANTA MARIA LA RIBERA I,CUAUHTEMOC,NA,NA,NA,19.45209467,-99.16044651
BODEGA DE HIERBAS,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO SONORA,Fijo,CALLE CALLEJON SAN NICOLAS  INT. 231 C.P. 15810,MERCED BALBUENA,VENUSTIANO CARRANZA,NA,NA,NA,19.42161617,-99.12421023
BODEGA DE HIERVAS SIN NOMBRE,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,OTRO CONGLOMERADO,PLAZA SAN CIPRIAN,Fijo,CALLE GENERAL ANAYA EXT. 75 INT. 116 C.P. 15100,CENTRO II,VENUSTIANO CARRANZA,NA,NA,NA,19.42768223,-99.12063082
BODEGA DE LA HERBOLARIA LA PIRAMIDE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MAURICIO GOMEZ EXT. 4 INT. 0 C.P. 7100,CUAUTEPEC EL ALTO (PBLO),GUSTAVO A. MADERO,NA,NA,NA,19.55578547,-99.13361062
BODEGA DE PAPEL PERTENECE A CORPORATIVO RACER,CORPORATIVO RACER SA DE CV,2016-01-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE DOCTOR M. GARCIA DIEGO EXT. 138  C.P. 6720,DOCTORES IV,CUAUHTEMOC,"57611448",corporativo@racer.com.mx,NA,19.4163914,-99.15020669
BODEGA DE PLANTAS MEDICINALES Y VELADORAS,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CERRADA CERRADA DE CONFITERAS   C.P. 2050,SANTA MARIA MALINALCO (PBLO),AZCAPOTZALCO,NA,NA,NA,19.47725527,-99.18039128
BODEGA DE PRODUCTOS NATURALES GABY REY,BODEGA DE PRODUCTOS NATURALES GABY REY,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JUAN DE DIOS PEZA EXT. 142  C.P. 6800,OBRERA IV,CUAUHTEMOC,"5514509295",NA,NA,19.41327003,-99.13654273
BODEGA DE PRODUCTOS NATURISTAS,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CORREGIDORA EXT. 120 INT. 115 C.P. 15100,CENTRO I,VENUSTIANO CARRANZA,NA,NA,NA,19.4307837,-99.1231278
BODEGA DE PRODUCTOS ORTOPEDICOS,NA,2014-12-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LA ROSA EXT. 36  C.P. 9750,LAS PEAS I,IZTAPALAPA,NA,NA,NA,19.33558628,-99.04830572
BODEGA DR. SIMI,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SAN LUIS EXT. 9  C.P. 9880,GRANJAS ESTRELLA I,IZTAPALAPA,NA,NA,NA,19.32184201,-99.09070897
BODEGA FARMACEUTICA HISPANOAMERICA,FARMACEUTICA HISPANOAMERICA SA DE CV,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE ABEDULES EXT. 32  C.P. 6430,SANTA MARIA INSURGENTES,CUAUHTEMOC,NA,ilopez@fhmex.com.mx,NA,19.45983348,-99.14873727
BODEGA FARMADEXTRUM,FARMADEXTRUM SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE SUR 107 EXT. 1205  C.P. 15970,AERONAUTICA MILITAR,VENUSTIANO CARRANZA,"5557681586",araceli.lara@farmadextrum.com,NA,19.4218007,-99.11573604
